,ProductUrl,productTitle,productPrice,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt,reviewLikes,reviewDislikes,certifiedBuyer,reviewerLocation,scrapedAt,uniqId
24,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Wonderful,Rest everything is good except magic remote is not available with this model and Tv panel is not IPA.  sound quality is best.,ankita,27 days ago,0,0,True, Gurgaon,20/02/2022 02:03:42,f5a85984-95bd-5516-b3d9-78ffe20766b6
25,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Simply awesome,Very very good tv awesome picture quality and sound❤❤,pratap Singh,2 months ago,1,0,True, Nanded Waghala,20/02/2022 02:03:42,60e08f79-88fb-52cb-a3a8-5a4641334377
26,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Very Good,Picture quality is just ok... sound is good,Manish Kumar,6 months ago,1,0,True,ertified Buyer,20/02/2022 02:03:42,b593b6fc-d46e-5d31-a504-68fdf5543ca8
27,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Terrific purchase,I just loved it. Amazing sound and picture quality.,SANDEEP CHAUDHARY,3 months ago,0,0,True, Central Delhi,20/02/2022 02:03:42,f9d3ff16-2897-53f5-8ca2-c89394aab6c5
29,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Simply awesome,Sound and picture quality is excellent. Do not compare it with chaines brand and not go for less rating. Sound is crystal clear and enough for domestic use. Overall this TV is very good. One thing is to be noted that screen contrast and sharpness is more better than chaines products and screen life of chaines products are becoming faint after use 4-5 year I feel it in MI TV. Just concept of led bulb that 6 month use its light become lesser than compare new one.Installation part is poor and I...,Rajeev Kumar,3 months ago,1,0,True, Deoghar,20/02/2022 02:03:42,dac5a4f3-c3cd-58c2-9a5a-7dc680e5dc89
30,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Worth the money,"Overall Good package, Picture quality is excellent but sound quality is also good but not as expected",Sumt Vjaywargiya,3 months ago,0,0,True, Indore,20/02/2022 02:03:42,de61e837-759b-5d6b-8135-fbd50502bc7f
31,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Brilliant,Excellent Service Provide by service engineer and we are satisfied with product quality and hope it is same in future also,Gauri  Jadhav ,6 months ago,1,0,True, Kolhapur,20/02/2022 02:03:43,38fd3b5d-1c14-5def-8e9a-5c831302339f
32,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Classy product,Good,Raja RP,3 months ago,0,0,True, Salem,20/02/2022 02:03:43,eaa48569-d8ec-5d9b-acb6-d9e3ee43aeb6
33,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Worth every penny,"One of the best QLED TV at this price range with such a superb specifications. I t is really difficult to find such specifications at this price range.JEEVES service person is knowledgeable with soft spoken & explained all the features of TV & how to save guard TV from damages. I also purchased compleat warranty via. Him.This review is just after 48 hrs of installation over all I am happy ,expecting similar services from JEEVES in future too.",Nitin Walhe,3 months ago,14,4,True, Navi Mumbai,20/02/2022 02:03:43,0aef2837-d7dd-5b73-b35c-c50d3a081628
35,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Very Good,Overall performance is good,Anil Kumar Reddy P,3 months ago,0,0,True, Hyderabad,20/02/2022 02:03:43,e20b5fcb-9a38-50d9-b22f-cb1256ba0b1e
36,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Mind-blowing purchase,Gr8 purchase,Shivani Gupta,6 months ago,1,0,True, Jharia Khas,20/02/2022 02:03:43,a3fa1eda-f02b-5f5b-8568-608bbf6cadb6
37,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Simply awesome,Good QLED Tv with in budget.,Surendra Mopada,3 months ago,0,0,True, Madhurawada,20/02/2022 02:03:43,f239ea45-50b0-5b8f-8abc-1376398878a5
38,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Really Nice,TV is good picture quality is also good. Worth it QLED in this price range. But the only drawback is it does not have ARC or eARC hdmi port for the sound bar to connect. How to connect the soundbar now. My soundbar does not have optical slot. Overall quality and clarity is Good.,VARZDAD PATRAWALA,1 month ago,3,2,True, Navsari,20/02/2022 02:03:43,79a07646-0f4b-562e-889d-6da746126787
39,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Great product,Nice,Ravikant Singh,24 days ago,0,0,True, Bermo,20/02/2022 02:03:43,d6b90f42-2a5b-524d-8aca-e8a2f42d43e0
40,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Must buy!,The picture and sound quality is excellent. TV's picture upscale capability is really good. Can use SD set-top box and TV will upscale it really good. Sound quality with 20 watt speaker is really good. You won't need soundbar or additional speakers even for larger rooms.,Mihir S,3 months ago,3,3,True, Navi Mumbai,20/02/2022 02:03:43,a76c5475-8b1b-5b4e-b72e-241d5d2fab0e
41,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Pretty good,Simply oswm some bugs company fix please... Another wise excellent tvv.,Shaik Rabbani,3 months ago,0,0,True, Ysr District,20/02/2022 02:03:43,76701953-0bfe-5ba4-8030-c95aafd95c7f
42,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Super!,Picture quality very good,Lalita  Satapathy ,6 months ago,1,0,True, Puri District,20/02/2022 02:03:43,e97275bb-aba7-57c5-a18a-fd5655962110
43,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Super!,Great TV and good delivery and installation team,Anand N,3 months ago,0,0,True, Coimbatore,20/02/2022 02:03:43,7b6a77d0-fad3-557b-a2cd-11526ae62b8a
44,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Slightly disappointed,"It is okay product but just after 10 days price reduce by 5K , which is really disgustingIt doesnot seem qled tv, it is normal led tvSound is not ao much effective as mentioned in description, it is just like good for nothing",Ravinder Sharma,3 months ago,19,35,True, New Delhi,20/02/2022 02:03:43,6c48e71c-9cc9-51c7-a57a-ad174c0f63d7
45,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Perfect product!,I've been using this TV for past two weeks now. Excellent QLED; The display is amazing and produces all colors with utmost clarity. This VA panel does not wash out the colors while viewing from sides. It has good viewing angle. TV when powered on in the morning takes 60 seconds to boot which is normal to any android TV. Once the TV is up everything works quick; Buttery smooth interface but the spotlight remote disconnects often. It reconnects without any hurdles but we often get notificatio...,sudheshnan thinakaran,1 month ago,0,0,True, Bengaluru,20/02/2022 02:03:43,4abf42db-1034-5e7f-9650-be33248a576e
46,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Awesome,Superb picture quality and web os software is quite good and much improved. Ultra HD 4k video clarity is awesome and it's quite clear that LG is best in technology. The only area where LG need to improve is sound quality. I can say sound quality is good but not that much great. Anyway a superb TV which is absolutely value for money,Rejeesh N V,6 months ago,3,3,True, Ezhome,20/02/2022 02:03:43,5419b688-92f8-51e2-8b5a-e3bcd4c489c3
48,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Classy product,received in good condition.Delivery is prompt and the same day service engineer installed. thank you flipkart.,Suresh  Kumar,6 months ago,0,0,True, Kannur District,20/02/2022 02:03:43,5e52ff82-4b6a-5e9d-abfd-9ac27340baa9
49,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Worth every penny,Product is brilliant in terms of Picture and sound. great purchase.Completely satisfied.,Ganesh  Mishra,3 months ago,0,0,True, Gautam Buddha Nagar District,20/02/2022 02:03:43,f1427a09-9342-59e8-9587-c7ae6b825bb1
50,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Highly recommended,"Very good TV. Didn't disappoint at all. I was initially worried about the comparison of Motorola TV vs standard and well proven brands like Sony, Samsung and LG. Because one could see other brands in showrooms and feel the experience. But after going through feedback online and also hearing from a friend who had used Motorola TV I went ahead and purchased this 55"" inch TV. Its sleek yet Audio (Dolby) is very good. No need of Home theatre if you have this TV.  Mainly display is good which is w...",Sreenivas KR,1 month ago,0,1,True, Bengaluru,20/02/2022 02:03:43,aadedf6f-7f57-5e7e-9751-86304a1d3d80
52,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Awesome,Picture quality is excellent and many times better than Mi/Sansui and other local brands. Always go for brands like LG/ Samsung /Sony if your pocket allows.Excellent service provided by Flipkart and LG team. Happy with the product.,Pawan Joshi,28 days ago,2,0,True, Dehradun,20/02/2022 02:03:43,00ed5044-3faa-5c80-b6a6-6e76a7a74d7b
54,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Brilliant,Product and service excellent,Jagadeesh Gowda,6 months ago,1,0,True, Chikballapur Industrial Area,20/02/2022 02:03:43,54eba6f9-56dc-5a20-9147-94e8bab592a4
55,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Great product,Very Nice Video Quality. Good Sound. Good User interface. But there is Problem in sound with Bluetooth earphones. There is disruption in sound.,PARVEEN KUMAR NAIN,3 months ago,0,0,True, Jalalabad,20/02/2022 02:03:43,a8ae788e-dd1a-5fe7-91c3-0017ab04d55f
56,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Best in the market!,It is really a super cool TV.. it feels like premium and value for money 💰.,Bharath Kumar Naidu,3 months ago,0,0,True, Vizianagaram,20/02/2022 02:03:43,674c7823-12b1-58c8-abc8-2b1722d68c80
57,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Classy product,Color system super Sound quality super but Remote system is slow light ga,Chintada anand,1 month ago,0,0,True, Vijayawada,20/02/2022 02:03:43,c1e63552-efeb-5277-b2ea-9547a8bd699e
58,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Must buy!,I would not say that the TV is best but if you’re looking for a budget TV.. go for it. The 4k and HD quality is good and you will enjoy it. Sound is obviously not you can expect to the level of Sony but ok. Connect it from your BT speaker and enjoy. The delivery and installation was super fast. The same was done within 12 hours of my placing the request.,Nirmal Murmu,1 month ago,2,2,True, New Delhi,20/02/2022 02:03:43,3cb1a45d-8dcb-5972-b10f-539c36f2a833
59,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Great product,"Top notch picture quality, and sound is really loud with good and heavy bass.",Nitish Mahulkar,3 months ago,0,0,True, Aurangabad District,20/02/2022 02:03:43,b10241a9-7e05-5491-ac4c-9188a59d79d3
60,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Excellent,"Earlier I have Samsung 4K 40' but Motorola give me totally different experience, picture & sound quality is superb.",Yogesh Dhakate,4 months ago,39,3,True, Nagpur,20/02/2022 02:03:43,aeff6958-0815-54a7-be67-bc4187c0ed7e
61,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Highly recommended,Happy with the overall performance of the tv and features are good,Anurag Nath,1 month ago,0,0,True, Bengaluru,20/02/2022 02:03:43,8decdee6-5ee7-5eda-8b50-a00f84124626
62,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfe3445cd6a02d,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.4,Excellent,I bought it during sale for my bedroom. I already have a 55 inch samsung 8 series tv so i will compare with it on some points. Cons:1. Remote quality is not good. Although it works fine but the buttons feel very cheap and distinction between buttons are not good.2. Hotstar does not support 4k3. NO DOLBY VISION4.Only 2 usb ports5.Medium bezel design although it looks good6. Colour washout is little kore than my samsung tv which has same va panel but for a room that is acceptableProsT...,Swapnil Prakash,2 months ago,1,1,True, Patna,20/02/2022 02:03:43,304f68bb-d12b-5c9f-a289-2c8c1a7b2ab0
63,https://www.flipkart.com/motorola-revou-q-139-cm-55-inch-qled-ultra-hd-4k-smart-android-tv-wireless-gamepad/p/itme7cd2f4611211,MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹48,999",4.4,Mind-blowing purchase,Awesome Dolby vision experience with in the budget.,sairam prasad,3 months ago,0,0,True, Hyderabad,20/02/2022 02:03:44,db22f79a-fc45-5daa-bc19-87a2c56708b0
